,store_nm,store_id,store_addr_line2_txt,store_city_nm,store_state_id,store_zip5_id,upc_id,upc_dsc,category_nm,storeCounts,upcCounts,bundle_number,bundle_name
679569,VONS                     ,2858,2355 E. COLORADO BLVD.                  ,PASADENA            ,CA,91107,26793500000,CLASSIC SLICED LOAF CAKE,ISB DESSERTS,1,713,0,VONS_2858_0
440941,VONS                     ,2858,2355 E. COLORADO BLVD.                  ,PASADENA            ,CA,91107,64636100012,NAZOOK LOW SUGAR 23OZ,ISB SNACKS,1,713,0,VONS_2858_0
30395,VONS                     ,2858,2355 E. COLORADO BLVD.                  ,PASADENA            ,CA,91107,64636100011,PUFF PASTRY STICK 14OZ,ISB SNACKS,1,713,0,VONS_2858_0
858422,VONS                     ,2858,2355 E. COLORADO BLVD.                  ,PASADENA            ,CA,91107,64636100015,APRICOT ROLL 21OZ,ISB SNACKS,1,713,0,VONS_2858_0
252883,VONS                     ,2858,2355 E. COLORADO BLVD.                  ,PASADENA            ,CA,91107,64636100016,PUFF NAZOOK 14OZ,ISB SNACKS,1,713,0,VONS_2858_0
859753,VONS                     ,2858,2355 E. COLORADO BLVD.                  ,PASADENA            ,CA,91107,64636100014,NAZOOK 14OZ,ISB SNACKS,1,713,0,VONS_2858_0
535272,VONS                     ,2858,2355 E. COLORADO BLVD.                  ,PASADENA            ,CA,91107,85466100131,SUPREMAS CHICKEN NUGGET BREADED FULL CKD,FROZEN MEAT,1,713,0,VONS_2858_0
600935,SAFEWAY                  ,2621,3110 BALFOUR ROAD                       ,BRENTWOOD           ,CA,94513,3583600202,BRUNOS OLIVES GARLIC STUFFED,OLIVES,1,945,1,SAFEWAY_2621_1
39422,SAFEWAY                  ,2621,3110 BALFOUR ROAD                       ,BRENTWOOD           ,CA,94513,22490800000,JUMBO DIPPED CCHIP W/GHIRARDELLI 10CT,ISB SNACKS,1,945,1,SAFEWAY_2621_1
923712,SAFEWAY                  ,2621,3110 BALFOUR ROAD                       ,BRENTWOOD           ,CA,94513,85958800600,SARAHS HARVEST HUMMUS - FRESH CILANTRO A,DELI DIPS AND SALSA,1,945,1,SAFEWAY_2621_1
