,store_nm,store_id,store_addr_line2_txt,store_city_nm,store_state_id,store_zip5_id,upc_id,upc_dsc,category_nm,Ranged w/o image on 8.12,exclude?,Rank
6,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,20089700000,CHICKEN BREAST BNLS SKLS HAND TRMD,"CHICKEN, REFRIGERATED",Yes,No,2
1302,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,49515006001,DANISH/PASTRIES,ISB BREAKFAST BAKED GOODS,Yes,No,18
1986,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,23031600000,SHRIMP COOKED 51-60 CT TAIL ON PREV FZ,SERVICE SEAFOOD,Yes,No,25
2772,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,20297800000,OPN NAT LAMB LOIN CHOP VPC,LAMB,Yes,No,28
3557,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,23031800000,SHRIMP RAW JMBO 16-20 CT PREV FZ,SERVICE SEAFOOD,Yes,No,42
4459,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,28066400000,SF CHICKEN BREAST TENDER BNLS SKLS,"CHICKEN, REFRIGERATED",Yes,No,47
4874,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,23542500000,LOBSTER TAIL RAW 4 OZ FROZEN,SERVICE SEAFOOD,Yes,No,49
5788,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,21604800000,ECK HAM HONEY,DELI MEAT,Yes,No,59
6191,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,28056300000,SF CHICKEN THIGH JUMBO,"CHICKEN, REFRIGERATED",Yes,No,63
6383,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,4450020029,HF SAUSAGE POLSKA KIELBASA SMOKED ROPE,DINNER SAUSAGE,Yes,No,65
7456,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,28056600000,SF CHICKEN BREAST SPLIT JUMBO,"CHICKEN, REFRIGERATED",Yes,No,78
7650,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,21604900000,ECK HAM VIRGINIA,DELI MEAT,Yes,No,79
8251,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,28056400000,SF CHICKEN DRUMSTICK JUMBO,"CHICKEN, REFRIGERATED",Yes,No,85
8875,ALBERTSONS               ,13,2550 S. FORT APACHE ROAD                ,LAS VEGAS           ,NV,89117,28080900000,SF CHICKEN THIGH,"CHICKEN, REFRIGERATED",Yes,No,89
