,store_nm,store_id,store_addr_line2_txt,store_city_nm,store_state_id,store_zip5_id,upc_id,upc_dsc,category_nm,hi
177354,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,4650077377,GLADE CANDLE COZY CIDER SIPPING,AIR CARE,[AIR CARE] Please locate the GLADE CANDLE COZY CIDER SIPPING (UPC: 4650077377) in the AIR CARE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177355,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,4650077384,GLADE CANDLE CANDY SPRINKLING JOY,AIR CARE,[AIR CARE] Please locate the GLADE CANDLE CANDY SPRINKLING JOY (UPC: 4650077384) in the AIR CARE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177356,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,4650077402,GLADE CANDLE TREE LIGHTING WONDER,AIR CARE,[AIR CARE] Please locate the GLADE CANDLE TREE LIGHTING WONDER (UPC: 4650077402) in the AIR CARE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177357,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,4650077485,GLADE PISO COZY AUTM REFILL & WRMR,AIR CARE,[AIR CARE] Please locate the GLADE PISO COZY AUTM REFILL & WRMR (UPC: 4650077485) in the AIR CARE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177358,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,4650077486,GLADE PISO TREE LIGHTING WONDER RFL PLUS,AIR CARE,[AIR CARE] Please locate the GLADE PISO TREE LIGHTING WONDER RFL PLUS (UPC: 4650077486) in the AIR CARE aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177336,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,4175500219,LANGERS PINEAPPLE ORANGE COCONUT,ALL FAMILY JUICES & DRINKS,[ALL FAMILY JUICES & DRINKS] Please locate the LANGERS PINEAPPLE ORANGE COCONUT (UPC: 4175500219) in the ALL FAMILY JUICES & DRINKS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177686,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,48402001002,APPLES ENVY,APPLES,[APPLES] Please locate the APPLES ENVY (UPC: 48402001002) in the APPLES aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177687,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,48402018701,APPLES PINATA,APPLES,[APPLES] Please locate the APPLES PINATA (UPC: 48402018701) in the APPLES aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177798,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,81233301174,APPLES HONEYCRISP 2LB BAG,APPLES,[APPLES] Please locate the APPLES HONEYCRISP 2LB BAG (UPC: 81233301174) in the APPLES aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177410,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,7166208197,CRAYOLOA SILLY SCENTS,ART & CRAFT SUPPLIES,[ART & CRAFT SUPPLIES] Please locate the CRAYOLOA SILLY SCENTS (UPC: 7166208197) in the ART & CRAFT SUPPLIES aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177211,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,1115243690,UHA MIKAK CANDY PUCHAO MIX FRUIT,ASIAN FOODS,[ASIAN FOODS] Please locate the UHA MIKAK CANDY PUCHAO MIX FRUIT (UPC: 1115243690) in the ASIAN FOODS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177721,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,64843610069,PALDO KOKOMEN RAMEN RAMILY PACK,ASIAN FOODS,[ASIAN FOODS] Please locate the PALDO KOKOMEN RAMEN RAMILY PACK (UPC: 64843610069) in the ASIAN FOODS aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177872,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,85340400268,HODO TOFU NUGGETS 5 SPICE ORG,ASIAN HEALTHY,[ASIAN HEALTHY] Please locate the HODO TOFU NUGGETS 5 SPICE ORG (UPC: 85340400268) in the ASIAN HEALTHY aisle and take up to 5 clear and well−framed CLOSE−UP photos.
177873,SAFEWAY                  ,2621,3110 BALFOUR ROAD,BRENTWOOD           ,CA,94513,85340400269,HODO NUGGETS THAI CURRY ORG,ASIAN HEALTHY,[ASIAN HEALTHY] Please locate the HODO NUGGETS THAI CURRY ORG (UPC: 85340400269) in the ASIAN HEALTHY aisle and take up to 5 clear and well−framed CLOSE−UP photos.
